?hostProtein	?hostProteinName	?pathway	?pathwayName
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03250>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03250>	"PI3K-Akt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03250>	"ErbB signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03250>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03250>	"Cellular senescence - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03250>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03250>	"PI3K-Akt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03250>	"ErbB signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03266>	"Wnt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03266>	"Wnt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03271>	"TGF-beta signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03271>	"TGF-beta signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03272>	"Hippo signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03272>	"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03272>	"Hippo signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03272>	"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03273>	"JAK-STAT signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03273>	"JAK-STAT signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03320>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03320>	"Hepatitis C - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03320>	"Thyroid hormone signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03320>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03320>	"Hepatitis C - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03320>	"Thyroid hormone signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03410>	"Human T-cell leukemia virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03410>	"Human cytomegalovirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03410>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03410>	"Human T-cell leukemia virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03410>	"Human cytomegalovirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03410>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03420>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03420>	"Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03420>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03420>	"Transcriptional misregulation in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03420>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03420>	"Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03420>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03420>	"Transcriptional misregulation in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03430>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03430>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03430>	"Colorectal cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03430>	"Endometrial cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03430>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03430>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03430>	"Colorectal cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03430>	"Endometrial cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03440>	"Acute myeloid leukemia - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03440>	"Chronic myeloid leukemia - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03440>	"Bladder cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03440>	"Thyroid cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03440>	"Acute myeloid leukemia - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03440>	"Chronic myeloid leukemia - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03440>	"Bladder cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03440>	"Thyroid cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03450>	"Small cell lung cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03450>	"Breast cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03450>	"Hepatocellular carcinoma - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03450>	"Small cell lung cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03450>	"Breast cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03450>	"Hepatocellular carcinoma - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03460>	"Central carbon metabolism in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03460>	"Gastric cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03460>	"Central carbon metabolism in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"	<path:hsa03460>	"Gastric cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00590>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00590>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00592>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00592>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00600>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00600>	"Apoptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00600>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00600>	"RIG-I-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00600>	"Sphingolipid signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00600>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00600>	"Apoptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00600>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00600>	"RIG-I-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00600>	"Sphingolipid signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00620>	"Adipocytokine signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00620>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00620>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00620>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00620>	"Adipocytokine signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00620>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00620>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00620>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00630>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00630>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00630>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00630>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00640>	"Hepatitis C - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00640>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00640>	"Tuberculosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00640>	"Hepatitis C - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00640>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00640>	"Tuberculosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00670>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00670>	"Human cytomegalovirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00670>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00670>	"Human cytomegalovirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00760>	"Human papillomavirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00760>	"Human papillomavirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00785>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00785>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00785>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00785>	"Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00785>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00785>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00785>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00785>	"Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"@en	<path:hsa00830>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15628>	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	<path:hsa00830>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NYJ8>	"TGF-beta-activated kinase 1 and MAP3K7-binding protein 2"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
